path	why	confidence	what_it_would_break_if_any	verification_done
.pr-body-governance-100.md	Stray PR-body scratch file left at repo root (governance DoD PR body); content lives in docs/GITHUB_GOVERNANCE_PLAN.md. Only self-ref + a mention in artifacts/governance/README.md.	HIGH	Nothing in code/CI. artifacts/governance/README.md mention is descriptive only.	git grep: no .py/.yml/.swift refs; only self + README prose
specs/PHOENIX_OMEGA_V4_COMPLETE_SPEC (1).md	Duplicate of an ALREADY-archived superseded spec: identical-named file exists at archive/PHOENIX_OMEGA_V4_COMPLETE_SPEC (1).md (archive/README explicitly marks it "Do not use… superseded by canonical spec"). The specs/ copy is a stray left in the live spec dir; has the macOS " (1)" dup-suffix.	HIGH	Nothing. Canonical = specs/PHOENIX_V4_CANONICAL_SPEC.md / PHOENIX_ARC_FIRST_CANONICAL_SPEC.md. Not in DOCS_INDEX, not imported.	git ls-tree: copy in both specs/ and archive/; archive/README declares it superseded
phoenix_catalog_1008.json	Root-level legacy catalog export; no .py/.yaml/.yml/.jsx reference. Superseded by config/source_of_truth/ + generated catalog bundles.	HIGH	Nothing in code. Referenced only in stale artifacts/media_html_paths_inventory*.txt and an .rtf.	git grep: 0 code refs (non-md, non-artifact)
phoenix_catalog_v4_1008.json	Root-level legacy catalog export (v4 sibling of above); no code reference.	HIGH	Nothing in code/CI.	git grep: 0 code refs
us_catalog_sample.json	Root-level sample catalog JSON; no code reference; superseded by SSOT-generated catalogs.	HIGH	Nothing.	git grep: 0 code refs
bold modern.jpg	Root-level stray image (space in name); no reference from any .py/.yaml/.html/.jsx. Looks like a cover-design scratch asset.	HIGH	Nothing; not wired to any cover/brand asset path.	git grep: 0 refs
premium.jpg	Root-level stray image; no reference anywhere in code/HTML.	HIGH	Nothing.	git grep: 0 refs
phoenix_title_engine.py	Unversioned root title engine, superseded by phoenix_title_engine_v4.py (the imported one). NOTE: system_registry.yaml has a GLOB phoenix_title_engine*.py that would still match v4 after removal, but governance scan expectations should be re-checked.	MED	Low risk: tests import _v4 explicitly; only the glob in config/governance/system_registry.yaml L15 matches the bare name. Removing it could change system_registry change-detection coverage — adjust the glob to phoenix_title_engine_v4.py first.	git grep: only system_registry glob + inventory CSVs; test imports _v4
phoenix_title_engine_v3.py	Superseded versioned root title engine (v4 is canonical/imported). Only referenced by 2026-04 inventory CSVs (themselves stale).	MED	Low: nothing imports v3. Verify no archived run scripts call it before removal.	git grep: only inventory CSVs (stale) reference it
revenue_dashboard.jsx	Root-level standalone dashboard component; 0 non-self references; dashboard surface is now brand-wizard-app/public/exec_catalog_dashboard.html + revenue work in brand_admin.	MED	Possibly nothing; confirm no manual operator workflow opens it directly. Not imported by brand-wizard-app build.	git grep: 0 non-self refs
regen_files.py	Root-level one-off regen script; 0 non-self references; no CI invocation.	MED	Likely nothing; verify it is not a documented manual recovery tool before removal.	git grep: 0 non-self refs
salvage/session_2026_03_28_worktree_snapshot/	Nested self-duplicate: this subtree re-duplicates salvage/session_2026-03-28/ verbatim (a worktree snapshot of the same 4 repo-alignment JSON/MD files). REPO_CLEANUP_CANDIDATES already notes salvage/ is "trivial; duplicated under nested snapshot".	MED	Nothing live; salvage/ is historical recovery material. Keep the non-nested salvage/session_2026-03-28/ copy; remove only the nested snapshot duplicate.	git ls-tree: identical 4-file set duplicated at nested path
de_chats_to_analyze/	21 raw chat-dump files (.rtfd/.md "cursor_*", "chat_asdfae4") — unprocessed intake transcripts. Not an authority source; not in DOCS_INDEX. Analysis appears complete (mined into specs).	MED	Low: one cross-ref from a doc, but content is raw transcripts, not a contract. Operator should confirm mining is complete before removal.	git ls-tree: 21 files; raw transcripts; no code/CI ref
old_chats/	12 archived chat files; tracked legacy dir. REPO_CLEANUP_CANDIDATES_2026.tsv already flags as ask_owner ("archive-style dir; triage vs salvage only with owner signoff").	MED	Low operationally; flagged ask_owner historically — do not remove without owner signoff.	prior cleanup TSV row; no code/CI ref
talp/analyze_intake/PHOENIX_V4_NEW_FORMATS_DEV_SPEC (1).md	macOS " (1)" duplicate file inside the talp content-intake dir. The talp/ dir IS live (referenced by SYSTEMS_V4/WRITER_SPEC/config), but these specific " (1)" suffixed files are dup copies.	MED	talp/ dir must NOT be deleted (live content source); only the individual " (1)" dup files are candidates. Verify the non-suffixed sibling exists first.	git ls-tree: " (1)" suffix dup files inside otherwise-live talp/
talp/analyze_intake/WRITER_ONBOARDING_SHAME_ENGINE (1).md	macOS " (1)" duplicate file inside talp intake dir (see above).	MED	Same as above — file-level dup only; parent dir is live.	git ls-tree: " (1)" dup
talp/analyze_intake/relationship_anxiety_la_gen_z (1).md	macOS " (1)" duplicate file inside talp intake dir (see above).	MED	Same as above.	git ls-tree: " (1)" dup
archive/SYSTEMS_DOCUMENTATION (3).md	macOS " (3)" duplicate inside archive/ (already superseded reference dir). Archive/README marks SYSTEMS_DOCUMENTATION as superseded.	LOW	Archive/ is intentional reference (README says "kept for reference"). Removal optional cleanup only; operator may want history. Do NOT bulk-delete archive/.	archive/README declares supersession; " (3)" dup-suffix
docs/SESSION_HANDOFF_2026_04_05.md (+ 2026_04_06, _04_06_B, _04_08, _04_09, _04_24, _04_27, _05_04)	Dated session-handoff docs at docs/ top level (8 files); historical, superseded by docs/sessions/* and current state docs. Not in DOCS_INDEX, not in any authority source.	LOW	Nothing functional. These are point-in-time handoffs; some may hold unique decision rationale — operator review recommended before removal (low operational value, possible historical value).	classified STALE (not-in-index + not-recent + dated-historical); 0 code refs
docs/FULL_REPO_ARCHITECTURE_MAP_2026-04-26.md (+ FULL_REPO_CANONICAL_SYSTEM_MAP / _DEPRECATION_AND_DELETION_PLAN / _IMPLEMENTATION_GAP_PLAN / _SYSTEM_AUDIT, all _2026-04-26)	Prior full-repo audit series (2026-04-26), superseded by THIS audit + SUBSYSTEM_HEALTH_AUDIT (2026-06-09). Pre-mass-commit, pre-music/storefront/devotion/video-v3 subsystems.	LOW	Nothing functional. Historical predecessor audits — keep one as lineage if desired; this audit supersedes their findings.	dated 2026-04-26; superseded by newer audits; 0 code refs
docs/PHOENIX_OMEGA_PRODUCTION_AUDIT_2026-04-29.md (+ PHOENIX_OMEGA_PATHWAY_TO_100_2026-04-29, PEARL_PRIME_FINAL_LAUNCH_REPORT_2026-04-29, PEARL_PRIME_CATALOG_VALIDATION_REPORT_2026-04-28)	Dated audit/launch/validation reports (late-April); point-in-time status now stale. Not in DOCS_INDEX/authority.	LOW	Nothing functional; historical status snapshots.	dated historical; 0 code refs
docs/MANGA_CATALOGS_2026-04-28.md (+ MANGA_CATALOG_PHASE2_2026-04-28, MANGA_CATALOG_PLAN_EN_US_JA_JP_ZH_TW_ZH_CN_2026-04-28, MANGA_CATALOG_VOLUME_AND_ASSETS_HANDOFF_2026_04_17)	Dated manga-catalog planning docs superseded by the live SSOT (config/source_of_truth/manga_series_plans/ 1,350 YAMLs) + canonical GENRE/CJK/US_CATALOG_PLAN docs + auto-generated MANGA_FULL_CATALOG_PLAN.	LOW	Nothing functional; superseded by SSOT + canonical strategic docs.	dated; superseded by live SSOT; not in authority set
docs/CHARACTER_INDIVIDUATION_PIPELINE_SPEC_2026-05-02.md (+ _PROMPT_ALGORITHM_2026-05-03)	Dated manga character-individuation spec; superseded by CHARACTER_INDIVIDUATION_PIPELINE_SPEC (undated, in known-good anchors) + Manga V2 Phase A data (PR #1542). The dated copies are the historical drafts.	LOW	Verify the undated CHARACTER_INDIVIDUATION_PIPELINE_SPEC.md is the live one before removing dated copies. Memory cites it as the anchor.	memory anchor cites undated spec; dated copies are drafts
docs/specs/MANGA_V4_MIGRATION_PLAN_ARCHIVE.md	Self-labeled ARCHIVE; V4 migration is complete (V5.1 is render authority). Name says ARCHIVE.	LOW	Nothing; explicitly an archive doc. Keep if V4↔V5 lineage wanted.	name=_ARCHIVE; V5 is current authority
archive/ (whole dir, 10 files incl .docx originals)	Entire archive/ dir is superseded docs (README says "Do not use… reference only"). Candidate for relocation/removal IF operator does not want lineage.	LOW	Removal loses doc lineage (V4 reconciliation, scene-injection, original .docx beat-map specs). PROTECT by default — flagged here only for completeness. Recommend KEEP.	archive/README is intentional; recommend KEEP
docs/CLOUD_NATIVE_AGENTS.md (+ _LAYER2, _LAYER3)	Cloud-native-agents design docs; not in DOCS_INDEX, not in authority set, not recent. Likely superseded by current agent_registry + skills/ architecture. Verify against config/agents/agent_registry.yaml before removal.	LOW	Possibly nothing, but agent architecture is sensitive — operator/Pearl_Architect should confirm these aren't a live design reference before removal.	not-in-index + not-recent; needs agent-arch confirm
# PROTECTED — explicitly NOT deletion candidates (listed to prevent accidental removal):	—	—	—	—
# Qwen/ , Qwen-Agent/	submodules — NEVER touch	PROTECT	Breaks CJK pipeline + submodule refs	per CLAUDE.md
# .claude/worktrees/**	committed to origin/main (~110GB); rm = mass-deletion + 0-byte index.lock hazard	PROTECT	Disk-poison recovery needed; mass-deletion blocks merge	per memory + push_guard caps
# brand_admin.html	retirement PR #1628 still OPEN; still referenced by _active_brand_filter.py + server/routes/brand_onboarding.py + tests	PROTECT-UNTIL-#1628	Breaks active brand filter, onboarding route, public-api test	git grep: 3 live code refs on main
# node_modules/ under brand-wizard-app	6,984 tracked files; removal >50 files needs owner approval; coordinate ws_lfs_setup	PROTECT	push_guard/governance mass-deletion block	prior cleanup TSV
# talp/ (dir), de_chats raw value, salvage/session_2026-03-28/ (non-nested)	live content source / historical recovery	PROTECT-DIR	talp referenced by SYSTEMS_V4/WRITER_SPEC/config	git grep: live refs
