concept_key	canonical_path	sha_or_pr	owner_agent	subsystem	edit_not_recreate	last_verified	supersedes	notes	research_refs	doc_refs
pearl_news_sidebar	pearl_news/pipeline/assemble_v52.py	PR#853 8070e81fd	Pearl_News	pearl_news	YES	2026-06-12	-	Pearl News sidebar assembler; high-drift; known-good anchor PR#853. Edit in place, never fork a v53.	docs/research/PEARL_NEWS_QWEN_DEEP_RESEARCH_ENGINE.md	docs/PEARL_NEWS_WRITER_SPEC.md
pearl_prime_bestseller_cli	scripts/run_pipeline.py	PR#669 cbfbe14c3;PR#939	Pearl_Prime	pearl_prime	YES	2026-06-12	-	Canonical bestseller CLI (spine + production + --exercise-journeys per OVERLAY_SPEC sec570-577). One path; do not author a parallel pipeline.	UNKNOWN-BACKFILL	docs/PEARL_PRIME_WHOLE_WORKFLOW_HARDENING_SPEC.md;docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md
manga_brand_canon	config/manga/canonical_brand_list.yaml	PR#722 9205b2307	Pearl_Dev	manga_pipeline	NO-without-ratification	2026-06-12	-	Manga brand canon; changes ripple through whole catalog. New variant requires cap-entry/operator ratification first.	UNKNOWN-BACKFILL	specs/AI_MANGA_PIPELINE_SUMMARY.md;docs/MANGA_IMPLEMENTATION_OUTLINE.md
teacher_real_photos	teacher_pics/;brand-wizard-app/public/teacher_pics/	c513ac18d	Pearl_Brand	dashboard	YES	2026-06-12	-	13-teacher real-photo roster; TWO mirrors restored together. drift = PR#773 manga overwrite at 800x1000; restore both from c513ac18d.	UNKNOWN-BACKFILL	docs/PEARL_ARCHITECT_STATE.md DASH-02;BRAND_ADMIN_CANONICAL_PACKAGE.md
manga_v2_model_arch	docs/specs/MANGA_V5_LAYERED_ARCHITECTURE.md	PR#924 ec46a7223	Pearl_Dev	manga_pipeline	NO-without-ratification	2026-06-12	docs/MANGA_LAYERED_PIPELINE_V2_SCOPE.md	Manga V2 multi-model architecture (Qwen-Image faces, FLUX backgrounds, Animagine XL 4.0 panels, PuLID face-lock). Supersedes the dev-session stub. New arch variant needs ratification.	UNKNOWN-BACKFILL	docs/specs/MANGA_V5_LAYERED_ARCHITECTURE.md;specs/AI_MANGA_PIPELINE_SUMMARY.md;docs/MANGA_IMPLEMENTATION_OUTLINE.md
subsystem_authority_map	artifacts/coordination/SUBSYSTEM_AUTHORITY_MAP.tsv	-	Pearl_PM	pearl_devops	YES	2026-06-12	-	The subsystem->authority-doc->owner map itself; canonical singleton. Append rows, never fork the file.	UNKNOWN-BACKFILL	docs/GITHUB_OPERATIONS_FRAMEWORK.md;docs/GITHUB_GOVERNANCE.md;docs/BRANCH_PROTECTION_REQUIREMENTS.md;CLAUDE.md
llm_policy_enforcement	.github/workflows/llm-policy-enforcement.yml	-	Pearl_DevOps	pearl_devops	YES	2026-06-12	-	Paid-LLM-API ban enforcement workflow. Canonical; edit in place. Pairs with scripts/ci/audit_llm_callers.py.	UNKNOWN-BACKFILL	docs/GITHUB_OPERATIONS_FRAMEWORK.md;docs/GITHUB_GOVERNANCE.md;docs/BRANCH_PROTECTION_REQUIREMENTS.md;CLAUDE.md
docs_index	docs/DOCS_INDEX.md	-	Pearl_PM	pearl_devops	YES	2026-06-12	-	Human doc index; canonical singleton. Add entries, do not create a parallel index.	UNKNOWN-BACKFILL	docs/DOCS_INDEX.md;docs/GITHUB_OPERATIONS_FRAMEWORK.md;docs/GITHUB_GOVERNANCE.md;docs/BRANCH_PROTECTION_REQUIREMENTS.md;CLAUDE.md
pearl_news_wordpress_client	pearl_news/publish/wordpress_client.py	PR#853 8070e81fd	Pearl_News	pearl_news	YES	2026-06-12	-	Canonical WordPress publish client. Newspaper theme uses td_post_template meta (NOT REST-registered; update_post_meta silently no-ops at line 187) — category-based template selection is the working path. Edit in place; never fork a v2 client.	docs/research/PEARL_NEWS_QWEN_DEEP_RESEARCH_ENGINE.md	docs/PEARL_NEWS_WRITER_SPEC.md
pearl_news_reader_signal	pearl_news/pipeline/reader_signal_ingest.py	PR#853 78f115fe3	Pearl_News	pearl_news	YES	2026-06-12	-	Reader-signal ingest backing the sidebar Hot Take Poll + Editorial Take (F4/F5). Function-bearing SHA 78f115fe3; without it the sidebar has buttons but no JS handler. Restore-from-SHA on drift, do not re-author.	docs/research/PEARL_NEWS_QWEN_DEEP_RESEARCH_ENGINE.md	docs/PEARL_NEWS_WRITER_SPEC.md
pearl_news_sidebar_signal_plugin	pearl_news/wp_plugin/pearl-news-signal.php	d0075d31d	Pearl_News	pearl_news	YES	2026-06-12	-	WP must-use plugin serving /wp-json/pearl-news/v1/signal (deployed live on pearlnewsuna.org). Part of the 6-SHA sidebar composite chain. Restore from d0075d31d; live exposes extra routes not yet in repo (Q-PNS-PLUGIN-DRIFT-01).	docs/research/PEARL_NEWS_QWEN_DEEP_RESEARCH_ENGINE.md	docs/PEARL_NEWS_WRITER_SPEC.md
pearl_news_sidebar_parity_gate	scripts/ci/check_pearl_news_sidebar_parity.py	PR#1451 9cd67d0e4	Pearl_News	pearl_news	YES	2026-06-12	-	CI parity gate: renders synthetic article via assemble_v52() and asserts every F-ID fingerprint vs CANONICAL_SIDEBAR_METADATA.json. Wired into pearl-news-daily.yml pre-publish + run_production_readiness_gates.py gate #19. BLOCKS publish on parity-fail.	docs/research/PEARL_NEWS_QWEN_DEEP_RESEARCH_ENGINE.md	docs/PEARL_NEWS_WRITER_SPEC.md
pearl_news_sidebar_gold_master	artifacts/pearl_news/snapshots/CANONICAL_SIDEBAR.html	-	Pearl_News	pearl_news	YES	2026-06-12	-	Gold-master sidebar HTML extracted from live post 3724. Paired with CANONICAL_SIDEBAR_METADATA.json (function fingerprints + composite SHA chain). The snapshot diff regression test pins against this; regenerate only from a verified live render.	docs/research/PEARL_NEWS_QWEN_DEEP_RESEARCH_ENGINE.md	docs/PEARL_NEWS_WRITER_SPEC.md
pearl_news_writer_spec	docs/PEARL_NEWS_WRITER_SPEC.md	-	Pearl_News	pearl_news	YES	2026-06-12	-	Pearl News writer authority doc (per SUBSYSTEM_AUTHORITY_MAP). Includes the §S Sidebar Restoration Protocol. Canonical singleton; amend in place, never fork a parallel writer spec.	docs/research/PEARL_NEWS_QWEN_DEEP_RESEARCH_ENGINE.md	docs/PEARL_NEWS_WRITER_SPEC.md
pearl_prime_enrichment_select	phoenix_v4/planning/enrichment_select.py	PR#612 e40f1b74f	Pearl_Prime	pearl_prime	YES	2026-06-12	-	Enrichment selection; additive_enrichment is the ONLY mode (lines 281-285) since PR#612. attach_exercise_journeys lives here. Bestseller-grade fall-through diagnosis starts here. Edit in place.	UNKNOWN-BACKFILL	docs/PEARL_PRIME_WHOLE_WORKFLOW_HARDENING_SPEC.md;docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md
pearl_prime_story_planner	phoenix_v4/planning/story_planner.py	PR#669 cbfbe14c3	Pearl_Prime	pearl_prime	YES	2026-06-12	-	build_story_schedule (line ~353) — story_schedule consumed by the composer for named-character STORY slots at sec 2/5/9 post-PR#669. Zero Marcus/Priya/Elena hits in book.txt = this not being consumed = PR#669 regression.	UNKNOWN-BACKFILL	docs/PEARL_PRIME_WHOLE_WORKFLOW_HARDENING_SPEC.md;docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md
pearl_prime_section_composer	phoenix_v4/rendering/section_packet_composer.py	PR#669 cbfbe14c3	Pearl_Prime	pearl_prime	YES	2026-06-12	-	compose_section_packet / compose_from_enriched_book (compose at line ~243) — consumes story_schedule + slot_tracker. Generic SCENE v04/v18 output instead of named-character prose = composer not reading the schedule. Edit in place.	UNKNOWN-BACKFILL	docs/PEARL_PRIME_WHOLE_WORKFLOW_HARDENING_SPEC.md;docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md
pearl_prime_beatmap_grid	phoenix_v4/planning/beatmap_compile.py	PR#395;PR#669	Pearl_Prime	core_pipeline	YES	2026-06-12	-	SOMATIC_10_SLOT_GRID (line ~42) — the 12x10x5 slot architecture; PR#669 swapped SCENE->STORY at sec 2/5/9. Grid-level injections run every render regardless of profile. The grid IS the architecture; non-architectural to opt out.	UNKNOWN-BACKFILL	specs/PHOENIX_ARC_FIRST_CANONICAL_SPEC.md;specs/PHOENIX_V4_5_WRITER_SPEC.md
story_atoms_character_roster	SOURCE_OF_TRUTH/story_atoms/character_roster.yaml	PR#645 c74bb3db9	Pearl_Prime	core_pipeline	YES	2026-06-12	-	Named-character bank (Marcus/Priya/Elena/Jordan/Sam/Alex) landed PR#645, with scene_injection_map.yaml + story_atom_tier_templates.yaml. Source for bestseller named-character SCENE prose. Edit in place.	UNKNOWN-BACKFILL	specs/PHOENIX_ARC_FIRST_CANONICAL_SPEC.md;specs/PHOENIX_V4_5_WRITER_SPEC.md
pearl_prime_format_registry	config/format_selection/format_registry.yaml	PR#892 417ef35e2	Pearl_Prime	pearl_prime	YES	2026-06-12	-	chapter_count single source of truth (AUTO-PLAN-SSOT-01, PR#892); word_range per format (standard_book [9000,20000] line ~117). NOT at config/format_registry.yaml — that path does not exist. Edit in place.	UNKNOWN-BACKFILL	docs/PEARL_PRIME_WHOLE_WORKFLOW_HARDENING_SPEC.md;docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md
pearl_prime_overlay_spec	docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md	-	Pearl_Prime	pearl_prime	YES	2026-06-12	-	Declares the canonical bestseller CLI (§570-577: run_pipeline.py --pipeline-mode spine --quality-profile production --exercise-journeys). The four-piece-chord authority. Additive amendments only; do not fork a parallel overlay.	UNKNOWN-BACKFILL	docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md;docs/PEARL_PRIME_WHOLE_WORKFLOW_HARDENING_SPEC.md
pearl_prime_book_system_canonical	docs/PEARL_PRIME_BOOK_SYSTEM_CANONICAL.md	-	Pearl_Prime	pearl_prime	YES	2026-06-12	-	Book-system canonical doc; §1.1 flags the spine-vs-registry argparse-default drift as 'the most consequential spec<->code drift in Pearl Prime today'. Canonical singleton; amend in place.	UNKNOWN-BACKFILL	docs/PEARL_PRIME_BOOK_SYSTEM_CANONICAL.md;docs/PEARL_PRIME_WHOLE_WORKFLOW_HARDENING_SPEC.md;docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md
arc_first_canonical_spec	specs/PHOENIX_ARC_FIRST_CANONICAL_SPEC.md	-	Pearl_Prime	core_pipeline	YES	2026-06-12	-	Sole system-architecture authority per PEARL_ARCHITECT_STATE Canonical Architecture Anchors. Paired with PHOENIX_V4_5_WRITER_SPEC.md. Canonical singleton — route here for pipeline architecture; never author a competing arch spec.	UNKNOWN-BACKFILL	specs/PHOENIX_ARC_FIRST_CANONICAL_SPEC.md;specs/PHOENIX_V4_5_WRITER_SPEC.md
system_registry	config/governance/system_registry.yaml	-	Pearl_Prime	core_pipeline	YES	2026-06-12	-	core_pipeline config registry (per SUBSYSTEM_AUTHORITY_MAP). Canonical singleton; append/edit in place.	UNKNOWN-BACKFILL	specs/PHOENIX_ARC_FIRST_CANONICAL_SPEC.md;specs/PHOENIX_V4_5_WRITER_SPEC.md
angle_registry	config/angles/angle_registry.yaml	-	Pearl_Prime	pearl_prime	YES	2026-06-12	-	Angle definitions (e.g. PROTECTIVE_ALARM for the gold-ref anxiety arc). plan.json stores angle_id, not the arc path; triage via engine/motif/angle triad. Edit in place; add angles, do not fork.	UNKNOWN-BACKFILL	docs/PEARL_PRIME_WHOLE_WORKFLOW_HARDENING_SPEC.md;docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md
teacher_banks	SOURCE_OF_TRUTH/teacher_banks	-	Pearl_Editor	teacher_mode	YES	2026-06-12	-	Per-teacher approved_atoms banks (teacher_mode authority config). Multi-source EXERCISE/TEACHER_DOCTRINE resolution roots here. Canonical dir; add teacher subdirs/atoms in place, never fork the bank root.	UNKNOWN-BACKFILL	docs/SYSTEMS_V4.md;specs/PHOENIX_V4_5_WRITER_SPEC.md
pen_name_teacher_profiles	config/authoring/pen_name_teacher_profiles.yaml	-	Pearl_Editor	teacher_mode	YES	2026-06-12	-	Pen-name -> teacher profile mapping (teacher_mode authority config). Canonical singleton; edit in place.	UNKNOWN-BACKFILL	docs/SYSTEMS_V4.md;specs/PHOENIX_V4_5_WRITER_SPEC.md
teacher_wrapper	phoenix_v4/rendering/teacher_wrapper.py	-	Pearl_Editor	core_pipeline	YES	2026-06-12	-	Teacher-wrapper renderer ('','')-on-incomplete safety, author-references-Ahjan. On-main anchor for the voice-braid work; the science wrapper MIRRORS this shape (does not invent a new one). Edit in place.	UNKNOWN-BACKFILL	specs/PHOENIX_ARC_FIRST_CANONICAL_SPEC.md;specs/PHOENIX_V4_5_WRITER_SPEC.md
manga_brand_lora_plans	config/manga/brand_lora_plans.yaml	-	Pearl_Dev	manga_pipeline	YES	2026-06-12	-	Named-cast LoRA scope (12-14 recurring characters per brand, NOT 200+ catalog). PuLID-FLUX covers everything else per V2 architecture. Edit in place; per-character LoRAs at catalog scale = drift.	UNKNOWN-BACKFILL	specs/AI_MANGA_PIPELINE_SUMMARY.md;docs/MANGA_IMPLEMENTATION_OUTLINE.md
manga_gate_registry	config/manga/gate_registry.yaml	-	Pearl_Dev	manga_pipeline	YES	2026-06-12	-	Manga gate registry (manga_pipeline + ite authority config). Canonical singleton; add gates in place, do not fork.	UNKNOWN-BACKFILL	specs/AI_MANGA_PIPELINE_SUMMARY.md;docs/MANGA_IMPLEMENTATION_OUTLINE.md
manga_catalog_reconciliation_spec	specs/MANGA_CATALOG_RECONCILIATION_SPEC.md	PR#682	Pearl_Dev	manga_pipeline	YES	2026-06-12	-	37 brands x 5-locale routing matrix (PR#682); governs manga_taxonomy / format_routing / manga_pacing_by_genre / genre_ite_profiles. Canonical reconciliation spec; amend in place.	UNKNOWN-BACKFILL	specs/MANGA_CATALOG_RECONCILIATION_SPEC.md;specs/AI_MANGA_PIPELINE_SUMMARY.md;docs/MANGA_IMPLEMENTATION_OUTLINE.md
manga_format_routing	config/manga/format_routing.yaml	PR#682	Pearl_Dev	manga_pipeline	YES	2026-06-12	-	Per-genre format routing (panel vs webtoon vs iyashikei -> model surface). Governed by MANGA_CATALOG_RECONCILIATION_SPEC. Edit in place.	UNKNOWN-BACKFILL	specs/AI_MANGA_PIPELINE_SUMMARY.md;docs/MANGA_IMPLEMENTATION_OUTLINE.md
manga_taxonomy	config/manga/manga_taxonomy.yaml	PR#682	Pearl_Dev	manga_pipeline	YES	2026-06-12	-	Manga genre taxonomy (governed by reconciliation spec). Canonical singleton; edit in place.	UNKNOWN-BACKFILL	specs/AI_MANGA_PIPELINE_SUMMARY.md;docs/MANGA_IMPLEMENTATION_OUTLINE.md
character_individuation_spec	docs/CHARACTER_INDIVIDUATION_PIPELINE_SPEC_2026-05-02.md	PR#924 ec46a7223	Pearl_Dev	manga_pipeline	NO-without-ratification	2026-06-12	-	Authority for §2.3 per-model prompt strategy + §2.4 per-surface model selection (Qwen-Image faces / FLUX backgrounds / Animagine XL 4.0 panels / PuLID-FLUX-FaceNet face-lock). Ratified via MANGA-LAYERED-PIPELINE-V2-01. New arch variant needs ratification.	UNKNOWN-BACKFILL	docs/CHARACTER_INDIVIDUATION_PIPELINE_SPEC_2026-05-02.md;specs/AI_MANGA_PIPELINE_SUMMARY.md;docs/MANGA_IMPLEMENTATION_OUTLINE.md
character_individuation_solver	scripts/manga/character_individuation/constraint_solver.py	PR#925 63da353bb	Pearl_Dev	manga_pipeline	YES	2026-06-12	-	Character-individuation constraint solver (Phase A, PR#925) in the character_individuation package (engine_router/prompt_builder/qa_face_distance siblings). Validates character_design block before render. Edit the package in place; do not greenfield a new solver.	UNKNOWN-BACKFILL	specs/AI_MANGA_PIPELINE_SUMMARY.md;docs/MANGA_IMPLEMENTATION_OUTLINE.md
manga_continuity_state_generator	scripts/manga/continuity_state_generator.py	PR#1368 099d1ab36	Pearl_Dev	manga_pipeline	YES	2026-06-12	-	Continuity-state generator (stdlib+PyYAML, FULLY OFFLINE — no GPU). Round-trip: generate -> /tmp -> diff_continuity_state.py --strict -> validate_continuity_invariants.py. Edit in place; the offline round-trip is the validation path.	UNKNOWN-BACKFILL	specs/AI_MANGA_PIPELINE_SUMMARY.md;docs/MANGA_IMPLEMENTATION_OUTLINE.md
manga_ite_pipeline	phoenix_v4/manga/ite_pipeline.py	-	Pearl_Dev	ite	YES	2026-06-12	-	ITE pipeline (ite subsystem authority code per SUBSYSTEM_AUTHORITY_MAP). Canonical singleton; edit in place.	UNKNOWN-BACKFILL	phoenix_v4/manga/ite_pipeline.py;docs/DOCS_INDEX.md
manga_v2_scope	docs/MANGA_LAYERED_PIPELINE_V2_SCOPE.md	PR#924 ec46a7223	Pearl_Dev	manga_pipeline	YES	2026-06-12	-	V2 5-phase roadmap / phase tracker. NOTE the existing seed row manga_v2_model_arch lists THIS file as superseded for the ARCHITECTURE authority (now MANGA_V5_LAYERED_ARCHITECTURE.md); this roadmap doc itself remains canonical as the phase map. Amend in place.	UNKNOWN-BACKFILL	docs/MANGA_LAYERED_PIPELINE_V2_SCOPE.md;specs/AI_MANGA_PIPELINE_SUMMARY.md;docs/MANGA_IMPLEMENTATION_OUTLINE.md
img_render_dual_path_spec	docs/specs/IMG_RENDER_DUAL_PATH_V1_SPEC.md	-	Pearl_Dev	manga_pipeline	YES	2026-06-12	-	Dual-path render spec: Pearl Star (Tier-2 free) + RunComfy ($10/mo soft cap). Canonical render-path authority; amend in place.	UNKNOWN-BACKFILL	docs/specs/IMG_RENDER_DUAL_PATH_V1_SPEC.md;specs/AI_MANGA_PIPELINE_SUMMARY.md;docs/MANGA_IMPLEMENTATION_OUTLINE.md
img_dispatcher_pearl_star	scripts/image_generation/dispatchers/pearl_star_dispatcher.py	-	Pearl_Dev	manga_pipeline	YES	2026-06-12	-	Pearl Star (Tier-2 free) image-gen dispatcher, sibling of runcomfy_dispatcher.py. Per IMG_RENDER_DUAL_PATH_V1_SPEC. Edit in place; do not author a third parallel dispatcher.	UNKNOWN-BACKFILL	specs/AI_MANGA_PIPELINE_SUMMARY.md;docs/MANGA_IMPLEMENTATION_OUTLINE.md
conductor_v3_dispatch_spec	docs/specs/CONDUCTOR_V3_DISPATCH_BRIDGE_V1_SPEC.md	PR#1048 d592c8527	Pearl_Dev	manga_pipeline	YES	2026-06-12	-	Conductor v3 dispatch bridge (allocation -> 13,540 unique batches; PR#1048, batch_id uniqueness PR#1049). Canonical dispatch-bridge spec; amend in place.	UNKNOWN-BACKFILL	docs/specs/CONDUCTOR_V3_DISPATCH_BRIDGE_V1_SPEC.md;specs/AI_MANGA_PIPELINE_SUMMARY.md;docs/MANGA_IMPLEMENTATION_OUTLINE.md
ei_v2_engine	phoenix_v4/quality/ei_v2/config.py	-	Pearl_Research	ei_v2	YES	2026-06-12	-	EI v2 package config module (authority dir phoenix_v4/quality/ei_v2/ per SUBSYSTEM_AUTHORITY_MAP; siblings: dimension_gates/hybrid_selector/learner/emotion_arc_validator). Today = EMA-tuned weighted-sum editorial scorer. Edit the package in place; do not fork a parallel ei_v3 dir.	UNKNOWN-BACKFILL	phoenix_v4/quality/ei_v2/;docs/DOCS_INDEX.md
locale_registry	config/localization/locale_registry.yaml	PR#1369 158342d96	Pearl_Localization	translation	YES	2026-06-12	-	Locale registry (en-US is_baseline:true). --locale tokens are HYPHENATED (en-US, ja-JP), NOT underscored. 12-market wiring via PR#1369. Canonical singleton; add locales in place.	UNKNOWN-BACKFILL	config/localization/quality_contracts/README.md;docs/DOCS_INDEX.md
localization_quality_contracts	config/localization/quality_contracts/README.md	-	Pearl_Localization	translation	YES	2026-06-12	-	Translation quality-contracts authority (per SUBSYSTEM_AUTHORITY_MAP). Canonical singleton; amend in place.	UNKNOWN-BACKFILL	config/localization/quality_contracts/README.md;docs/DOCS_INDEX.md
trend_feed_strategy	docs/TREND_FEED_INTEGRATION_STRATEGY.md	-	Pearl_Int	trend_feeds	YES	2026-06-12	-	Trend-feed integration authority doc. Canonical singleton; amend in place.	UNKNOWN-BACKFILL	docs/TREND_FEED_INTEGRATION_STRATEGY.md;scripts/feeds/
trend_feed_budget_guard	scripts/feeds/budget_guard.py	-	Pearl_Int	trend_feeds	YES	2026-06-12	-	Trend-feed budget guard (cost ceiling for feed pulls). Canonical singleton; edit in place.	UNKNOWN-BACKFILL	docs/TREND_FEED_INTEGRATION_STRATEGY.md;scripts/feeds/
integration_credentials_registry	docs/INTEGRATION_CREDENTIALS_REGISTRY.md	-	Pearl_Int	integrations	YES	2026-06-12	-	Single source of truth for all API credentials/URLs (Qwen=Singapore not Beijing; RunComfy; ElevenLabs). READ before touching any API. Canonical singleton; amend in place.	UNKNOWN-BACKFILL	docs/INTEGRATION_CREDENTIALS_REGISTRY.md;skills/pearl-int/SKILL.md
video_render_params	config/video/render_params.yaml	-	Pearl_Video	video_pipeline	YES	2026-06-12	-	Video render params (video_pipeline authority config). Canonical singleton; edit in place.	UNKNOWN-BACKFILL	config/video/;scripts/video/README.md;docs/specs/PEARL_VIDEO_BEAT_DRIVEN_NARRATIVE_PIPELINE_V1_SPEC.md;docs/specs/PEARL_VIDEO_FRAME_SELECTOR_BEST_OF_V1_SPEC.md
video_format_specs	config/video/format_specs.yaml	-	Pearl_Video	video_pipeline	YES	2026-06-12	-	Video format specs (video_pipeline authority config). Canonical singleton; edit in place.	UNKNOWN-BACKFILL	config/video/;scripts/video/README.md;docs/specs/PEARL_VIDEO_BEAT_DRIVEN_NARRATIVE_PIPELINE_V1_SPEC.md;docs/specs/PEARL_VIDEO_FRAME_SELECTOR_BEST_OF_V1_SPEC.md
audiobook_pipeline_spec	docs/AUDIOBOOK_PIPELINE_SPEC.md	-	Pearl_Dev	audiobook_pipeline	YES	2026-06-12	-	Audiobook pipeline authority spec. Canonical singleton; amend in place.	UNKNOWN-BACKFILL	docs/AUDIOBOOK_PIPELINE_SPEC.md;docs/AUDIOBOOK_OPS_MANUAL.md
audiobook_ops_manual	docs/audiobook_ops_manual.md	-	Pearl_Dev	audiobook_pipeline	YES	2026-06-12	-	Audiobook ops manual (lowercase filename: docs/audiobook_ops_manual.md, NOT docs/AUDIOBOOK_OPS_MANUAL.md; a .docx mirror also exists). Canonical ops doc; amend the .md in place.	UNKNOWN-BACKFILL	docs/audiobook_ops_manual.md;docs/AUDIOBOOK_OPS_MANUAL.md;docs/AUDIOBOOK_PIPELINE_SPEC.md
storefront_v1_spec	docs/specs/PEARL_PRIME_STOREFRONT_V1_SPEC.md	-	Pearl_Architect	storefront	YES	2026-06-12	-	Pearl Prime storefront V1 spec (authority for storefront subsystem; config/storefront/ still proposed). Canonical singleton; amend in place.	UNKNOWN-BACKFILL	docs/specs/PEARL_PRIME_STOREFRONT_V1_SPEC.md;docs/PEARL_ARCHITECT_STATE.md PEARL-PRIME-STOREFRONT-V1-01
music_mode_v2_spec	docs/specs/MUSIC_MODE_V2_PRODUCTION_READINESS_SPEC.md	-	Pearl_Architect	music_companions	YES	2026-06-12	-	Music Mode V2 production-readiness spec (§6 governs music_companions; config/music + musicgen worker still proposed). Canonical singleton; amend in place, do not fork a V3 spec without ratification.	UNKNOWN-BACKFILL	docs/specs/MUSIC_MODE_V2_PRODUCTION_READINESS_SPEC.md;docs/specs/MUSIC_MODE_V2_PRODUCTION_READINESS_SPEC.md §6;docs/PEARL_ARCHITECT_STATE.md MUSIC-MODE-V1-01 + MUSIC-MODE-V1-01-AMENDMENT-V2-PRODUCTION-READINESS
