example_id	format	platform	surface	topic	persona	design_family	render_path	source_asset_id	source_url	license_state	negative_space_region	busy_score	production_ready	operator_visual_qa_required	caption_opening	slide_paths	slide_receipts
ig_burnout_full_bleed	static	instagram	instagram_feed_portrait	burnout	corporate_managers	photo_full_bleed_emotional	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/ig_burnout_full_bleed.jpg	waystream_hope_pexels_36541765_06	https://www.pexels.com/photo/vibrant-seedling-growth-in-lush-portuguese-forest-36541765/	pending_source_page_verification	upper_right	53.3	False	True	Burnout is easier to notice when you stop calling every leak a personal flaw.		
li_burnout_framework	static	linkedin	linkedin_feed_portrait	burnout	corporate_managers	diagram_framework	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/li_burnout_framework.jpg	waystream_overthinking_pexels_10290189_01	https://www.pexels.com/photo/green-hedge-maze-10290189/	pending_source_page_verification	diagram_rail	0	False	True	Burnout is easier to notice when you stop calling every leak a personal flaw.		
pin_hope_object	static	pinterest	pinterest_pin	hope	general_readers	object_metaphor	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/pin_hope_object.jpg	waystream_hope_pexels_35423546_03	https://www.pexels.com/photo/glowing-path-of-decorative-lanterns-at-night-35423546/	pending_source_page_verification	object_first_crop	0	False	True	A small piece of evidence can do more for hope than a large demand to feel better.		
fb_grief_full_bleed	static	facebook	facebook_feed	grief	faith_community	photo_full_bleed_emotional	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/fb_grief_full_bleed.jpg	waystream_grief_pexels_5429891_06	https://www.pexels.com/photo/row-of-dried-leaves-on-a-white-textile-5429891/	pending_source_page_verification	lower_right	56.93	False	True	Grief can be honored without turning it into a performance of being okay.		
x_overthinking_poster	static	x	x_image	overthinking	gen_z_students	premium_type_poster	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/x_overthinking_poster.jpg	waystream_overthinking_pexels_4947853_05	https://www.pexels.com/photo/spiral-staircase-with-concrete-blue-railings-4947853/	pending_source_page_verification	editorial_text_column	0	False	True	Overthinking often calms down when the mind gets a small, visible exit ramp.		
threads_anxiety_poster	static	threads	threads_image	anxiety	healthcare_staff	premium_type_poster	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/threads_anxiety_poster.jpg	waystream_anxiety_pexels_8101094_01	https://www.pexels.com/photo/white-electrical-wire-on-gray-concrete-floor-8101094/	pending_source_page_verification	editorial_text_column	0	False	True	When anxiety is loud, the first helpful move can be environmental, not intellectual.		
bsky_overthinking_object	static	bluesky	bluesky_image	overthinking	general_readers	object_metaphor	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/bsky_overthinking_object.jpg	waystream_overthinking_pexels_12956246_02	https://www.pexels.com/photo/maze-garden-12956246/	pending_source_page_verification	object_first_crop	0	False	True	Overthinking often calms down when the mind gets a small, visible exit ramp.		
gb_boundaries_checklist	static	google_business	google_business_square	boundaries	local_service_clients	tool_checklist_card	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/gb_boundaries_checklist.jpg	waystream_boundaries_pexels_31654445_04	https://www.pexels.com/photo/rustic-gate-leading-to-overgrown-pathway-31654445/	pending_source_page_verification	structured_checklist	0	False	True	A boundary works better when it has a visible shape in your calendar, room, or routine.		
ig_hope_book_page	static	instagram	instagram_feed_portrait	hope	book_readers	book_page_quote	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/ig_hope_book_page.jpg	waystream_hope_pexels_6864829_05	https://www.pexels.com/photo/growing-avocado-with-green-stem-in-bedroom-6864829/	pending_source_page_verification	tactile_page_center	0	False	True	A small piece of evidence can do more for hope than a large demand to feel better.		
li_anxiety_checklist	static	linkedin	linkedin_feed_portrait	anxiety	healthcare_staff	tool_checklist_card	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/li_anxiety_checklist.jpg	waystream_anxiety_pexels_12657554_03	https://www.pexels.com/photo/coated-wires-on-black-surface-12657554/	pending_source_page_verification	structured_checklist	0	False	True	When anxiety is loud, the first helpful move can be environmental, not intellectual.		
pin_boundaries_poster	static	pinterest	pinterest_pin	boundaries	general_readers	premium_type_poster	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/pin_boundaries_poster.jpg	waystream_boundaries_pexels_10529669_02	https://www.pexels.com/photo/white-metal-fence-with-gate-near-green-trees-10529669/	pending_source_page_verification	editorial_text_column	0	False	True	A boundary works better when it has a visible shape in your calendar, room, or routine.		
fb_burnout_local_note	static	facebook	facebook_feed	burnout	apac_localization_draft	localized_lifestyle_note	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/static/fb_burnout_local_note.jpg	waystream_anxiety_pexels_5090637_02	https://www.pexels.com/photo/green-red-and-yellow-coated-wires-5090637/	pending_source_page_verification	lifestyle_plus_note	0	False	True	Burnout is easier to notice when you stop calling every leak a personal flaw.		
ig_overthinking_story_carousel	carousel	instagram	instagram_feed_portrait	overthinking	gen_z_students	story_carousel	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/ig_overthinking_story_carousel	waystream_overthinking_pexels_10290189_01	https://www.pexels.com/photo/green-hedge-maze-10290189/	pending_source_page_verification	varied_by_slide	slide_level	False	True	Overthinking often calms down when the mind gets a small, visible exit ramp.	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/ig_overthinking_story_carousel/slide_01.jpg|artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/ig_overthinking_story_carousel/slide_02.jpg|artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/ig_overthinking_story_carousel/slide_03.jpg|artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/ig_overthinking_story_carousel/slide_04.jpg|artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/ig_overthinking_story_carousel/slide_05.jpg|artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/ig_overthinking_story_carousel/slide_06.jpg	"json:[{""family_used"": ""photo_full_bleed_emotional"", ""negative_space_region"": ""lower_left"", ""path"": ""artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/ig_overthinking_story_carousel/slide_01.jpg"", ""role"": ""cover"", ""slide_no"": 1}, {""family_used"": ""story_carousel"", ""negative_space_region"": ""type_rhythm"", ""path"": ""artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/ig_overthinking_story_carousel/slide_02.jpg"", ""role"": ""recognition"", ""slide_no"": 2}, {""family_used"": ""diagram_framework"", ""negative_space_region"": ""diagram_rail"", ""path"": ""artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/ig_overthinking_story_carousel/slide_03.jpg"", ""role"": ""mechanism"", ""slide_no"": 3}, {""family_used"": ""tool_checklist_card"", ""negative_space_region"": ""structured_checklist"", ""path"": ""artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/ig_overthinking_story_carousel/slide_04.jpg"", ""role"": ""practice"", ""slide_no"": 4}, {""family_used"": ""object_metaphor"", ""negative_space_region"": ""object_first_crop"", ""path"": ""artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/ig_overthinking_story_carousel/slide_05.jpg"", ""role"": ""payoff"", ""slide_no"": 5}, {""family_used"": ""story_carousel"", ""negative_space_region"": ""dark_save_cta"", ""path"": ""artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/ig_overthinking_story_carousel/slide_06.jpg"", ""role"": ""save_cta"", ""slide_no"": 6}]"
li_burnout_manager_carousel	carousel	linkedin	linkedin_feed_portrait	burnout	corporate_managers	story_carousel	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/li_burnout_manager_carousel	waystream_hope_pexels_36541765_06	https://www.pexels.com/photo/vibrant-seedling-growth-in-lush-portuguese-forest-36541765/	pending_source_page_verification	varied_by_slide	slide_level	False	True	Burnout is easier to notice when you stop calling every leak a personal flaw.	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/li_burnout_manager_carousel/slide_01.jpg|artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/li_burnout_manager_carousel/slide_02.jpg|artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/li_burnout_manager_carousel/slide_03.jpg|artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/li_burnout_manager_carousel/slide_04.jpg|artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/li_burnout_manager_carousel/slide_05.jpg|artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/li_burnout_manager_carousel/slide_06.jpg	"json:[{""family_used"": ""photo_full_bleed_emotional"", ""negative_space_region"": ""upper_right"", ""path"": ""artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/li_burnout_manager_carousel/slide_01.jpg"", ""role"": ""cover"", ""slide_no"": 1}, {""family_used"": ""story_carousel"", ""negative_space_region"": ""type_rhythm"", ""path"": ""artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/li_burnout_manager_carousel/slide_02.jpg"", ""role"": ""recognition"", ""slide_no"": 2}, {""family_used"": ""diagram_framework"", ""negative_space_region"": ""diagram_rail"", ""path"": ""artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/li_burnout_manager_carousel/slide_03.jpg"", ""role"": ""mechanism"", ""slide_no"": 3}, {""family_used"": ""tool_checklist_card"", ""negative_space_region"": ""structured_checklist"", ""path"": ""artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/li_burnout_manager_carousel/slide_04.jpg"", ""role"": ""practice"", ""slide_no"": 4}, {""family_used"": ""object_metaphor"", ""negative_space_region"": ""object_first_crop"", ""path"": ""artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/li_burnout_manager_carousel/slide_05.jpg"", ""role"": ""payoff"", ""slide_no"": 5}, {""family_used"": ""story_carousel"", ""negative_space_region"": ""dark_save_cta"", ""path"": ""artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/li_burnout_manager_carousel/slide_06.jpg"", ""role"": ""save_cta"", ""slide_no"": 6}]"
pin_anxiety_saveable_carousel	carousel	pinterest	pinterest_pin	anxiety	healthcare_staff	story_carousel	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/pin_anxiety_saveable_carousel	waystream_anxiety_pexels_12657554_03	https://www.pexels.com/photo/coated-wires-on-black-surface-12657554/	pending_source_page_verification	varied_by_slide	slide_level	False	True	When anxiety is loud, the first helpful move can be environmental, not intellectual.	artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/pin_anxiety_saveable_carousel/slide_01.jpg|artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/pin_anxiety_saveable_carousel/slide_02.jpg|artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/pin_anxiety_saveable_carousel/slide_03.jpg|artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/pin_anxiety_saveable_carousel/slide_04.jpg|artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/pin_anxiety_saveable_carousel/slide_05.jpg|artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/pin_anxiety_saveable_carousel/slide_06.jpg	"json:[{""family_used"": ""photo_full_bleed_emotional"", ""negative_space_region"": ""lower_right"", ""path"": ""artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/pin_anxiety_saveable_carousel/slide_01.jpg"", ""role"": ""cover"", ""slide_no"": 1}, {""family_used"": ""story_carousel"", ""negative_space_region"": ""type_rhythm"", ""path"": ""artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/pin_anxiety_saveable_carousel/slide_02.jpg"", ""role"": ""recognition"", ""slide_no"": 2}, {""family_used"": ""diagram_framework"", ""negative_space_region"": ""diagram_rail"", ""path"": ""artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/pin_anxiety_saveable_carousel/slide_03.jpg"", ""role"": ""mechanism"", ""slide_no"": 3}, {""family_used"": ""tool_checklist_card"", ""negative_space_region"": ""structured_checklist"", ""path"": ""artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/pin_anxiety_saveable_carousel/slide_04.jpg"", ""role"": ""practice"", ""slide_no"": 4}, {""family_used"": ""object_metaphor"", ""negative_space_region"": ""object_first_crop"", ""path"": ""artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/pin_anxiety_saveable_carousel/slide_05.jpg"", ""role"": ""payoff"", ""slide_no"": 5}, {""family_used"": ""story_carousel"", ""negative_space_region"": ""dark_save_cta"", ""path"": ""artifacts/qa/social_visual_rebuild_publishable_quality_20260718/lane04_static_carousel_rebuild/static_carousel_render_samples/carousels/pin_anxiety_saveable_carousel/slide_06.jpg"", ""role"": ""save_cta"", ""slide_no"": 6}]"
